id,title,authors,venue,year,text
34960,a quasi-sampling theory of the generalization of causal relationships,td cook,"new directions for program evaluation ,",1993.0,"COL title VAL a quasi-sampling theory of the generalization of causal relationships COL authors VAL td cook COL venue VAL new directions for program evaluation , COL year VAL 1993.0"
34961,data structures and algorithmsâ ?? hash tables,j morris,"centre for intelligent information processing systems ,",,"COL title VAL data structures and algorithmsâ ?? hash tables COL authors VAL j morris COL venue VAL centre for intelligent information processing systems , COL year VAL "
34962,on-site waste management in new mexico : a case study of pena blanca water and sanitation district .,rp rose,"national on-site demonstration project . august ,",,"COL title VAL on-site waste management in new mexico : a case study of pena blanca water and sanitation district . COL authors VAL rp rose COL venue VAL national on-site demonstration project . august , COL year VAL "
34963,e-business demands integration of systems management tools it needs to integrate multivendor tools,l gates,"application development trends ,",2000.0,"COL title VAL e-business demands integration of systems management tools it needs to integrate multivendor tools COL authors VAL l gates COL venue VAL application development trends , COL year VAL 2000.0"
34964,a case study of srem .,"pa scheffer , ahs iii , we rzepka","ieee computer ,",,"COL title VAL a case study of srem . COL authors VAL pa scheffer , ahs iii , we rzepka COL venue VAL ieee computer , COL year VAL "
34965,gaucheâ ?? computerising the lgje scheme,p limited,"demonstration map . london ,",,"COL title VAL gaucheâ ?? computerising the lgje scheme COL authors VAL p limited COL venue VAL demonstration map . london , COL year VAL "
34966,performance enhancement of h. 263 encoder based on zero coefficient prediction,"a yu , rb lee , mj flynn",,,"COL title VAL performance enhancement of h. 263 encoder based on zero coefficient prediction COL authors VAL a yu , rb lee , mj flynn COL venue VAL  COL year VAL "
34967,digital reconstruction of acoustic holograms,nb tse,"ph. d. thesis california univ. , santa barbara. ,",1979.0,"COL title VAL digital reconstruction of acoustic holograms COL authors VAL nb tse COL venue VAL ph. d. thesis california univ. , santa barbara. , COL year VAL 1979.0"
34968,"forward and backward simulations { part i : untimed systems . report cs-r9313 , cwi , amsterdam , march","na lynch , fw vaandrager","mit/lcs/tm -486 , laboratory for computer science , massachusetts",,"COL title VAL forward and backward simulations { part i : untimed systems . report cs-r9313 , cwi , amsterdam , march COL authors VAL na lynch , fw vaandrager COL venue VAL mit/lcs/tm -486 , laboratory for computer science , massachusetts COL year VAL "
34969,intensional negation in constraint logic programming,"f bruscoli , f levi , g levi , mc meo","proceedings of gulp93 , d. saccaâ ?? , ed ,",,"COL title VAL intensional negation in constraint logic programming COL authors VAL f bruscoli , f levi , g levi , mc meo COL venue VAL proceedings of gulp93 , d. saccaâ ?? , ed , COL year VAL "
34970,inverters for photovoltaic systems,"j schmid , h schmidt",& hellip ; contractorsâ ?? meeting of the ec photovoltaic demonstration,,"COL title VAL inverters for photovoltaic systems COL authors VAL j schmid , h schmidt COL venue VAL & hellip ; contractorsâ ?? meeting of the ec photovoltaic demonstration COL year VAL "
34971,an evaluation of vbr disk admission algorithms for continuous media file servers,", gw neufeld , nc hutchinson",,,"COL title VAL an evaluation of vbr disk admission algorithms for continuous media file servers COL authors VAL , gw neufeld , nc hutchinson COL venue VAL  COL year VAL "
34972,microsoft secrets harpercollins,"ma cusumano , rw selby",,1997.0,"COL title VAL microsoft secrets harpercollins COL authors VAL ma cusumano , rw selby COL venue VAL  COL year VAL 1997.0"
34973,a comparison of pascal intermediate languages,pa nelson,,,COL title VAL a comparison of pascal intermediate languages COL authors VAL pa nelson COL venue VAL  COL year VAL 
34974,bidding behavior under costly information acquisition : an experimental study,"rm guzman , cd kolstad",,,"COL title VAL bidding behavior under costly information acquisition : an experimental study COL authors VAL rm guzman , cd kolstad COL venue VAL  COL year VAL "
34975,source acm sigmod record archive,"j clifford , r king","acm sigmod record ,",1991.0,"COL title VAL source acm sigmod record archive COL authors VAL j clifford , r king COL venue VAL acm sigmod record , COL year VAL 1991.0"
34976,the kingdon field guide to african mammals : academic press,j kingdon,"san diego , california ,",,"COL title VAL the kingdon field guide to african mammals : academic press COL authors VAL j kingdon COL venue VAL san diego , california , COL year VAL "
34977,d. a case study for redundant arrays of inexpensive disks ( raid ),"gk gibson , r paterson","proc . sigmod int . conf . of management of data , s ,",,"COL title VAL d. a case study for redundant arrays of inexpensive disks ( raid ) COL authors VAL gk gibson , r paterson COL venue VAL proc . sigmod int . conf . of management of data , s , COL year VAL "
34978,linkselector : a web mining approach to hyperlink selection for web portals,"x fang , orliu sheng","acm transactions on internet technology ,",2004.0,"COL title VAL linkselector : a web mining approach to hyperlink selection for web portals COL authors VAL x fang , orliu sheng COL venue VAL acm transactions on internet technology , COL year VAL 2004.0"
34979,models for channels with memory and their applications to error control,"ln kanal , ark sastry","ieee , proceedings ,",1978.0,"COL title VAL models for channels with memory and their applications to error control COL authors VAL ln kanal , ark sastry COL venue VAL ieee , proceedings , COL year VAL 1978.0"
34980,an algebraic model of correctness for superscalar microprocessors,"acj fox , na harman","lecture notes in computer science ,",1996.0,"COL title VAL an algebraic model of correctness for superscalar microprocessors COL authors VAL acj fox , na harman COL venue VAL lecture notes in computer science , COL year VAL 1996.0"
34981,numerical study of the atmospheric circulation of venus,ph stone,,1980.0,COL title VAL numerical study of the atmospheric circulation of venus COL authors VAL ph stone COL venue VAL  COL year VAL 1980.0
34982,expression of gastrin/cckb receptor isoforms in gastrointestinal tumour cells : relationship to,"s watson , p clarke , a varroâ ? ¦","procs aacr ,",,"COL title VAL expression of gastrin/cckb receptor isoforms in gastrointestinal tumour cells : relationship to COL authors VAL s watson , p clarke , a varroâ ? ¦ COL venue VAL procs aacr , COL year VAL "
34983,an update on the global ozone climatology and on concurrent ozone and temperature trends,"jpf fortuin , u langematz","proceedings spie ,",1994.0,"COL title VAL an update on the global ozone climatology and on concurrent ozone and temperature trends COL authors VAL jpf fortuin , u langematz COL venue VAL proceedings spie , COL year VAL 1994.0"
34984,logical design for temporal databases with multiple granularities,"c bettini , a brodsky , s jajodia , xs wang","acm transactions on database systems ,",,"COL title VAL logical design for temporal databases with multiple granularities COL authors VAL c bettini , a brodsky , s jajodia , xs wang COL venue VAL acm transactions on database systems , COL year VAL "
34985,siegel 's modular forms and dirichlet series,h maass,,1971.0,COL title VAL siegel 's modular forms and dirichlet series COL authors VAL h maass COL venue VAL  COL year VAL 1971.0
34986,artificial intelligence and design methodologies in mechanical engineering ',j forster,,1989.0,COL title VAL artificial intelligence and design methodologies in mechanical engineering ' COL authors VAL j forster COL venue VAL  COL year VAL 1989.0
34987,asia,e america,,,COL title VAL asia COL authors VAL e america COL venue VAL  COL year VAL 
34988,"onsson , and donald kossmann . performance tradeoffs for client-serverquery processing","mj franklin , tj bjorn","proceedings of the acm sigmod conference on management of & hellip ; ,",,"COL title VAL onsson , and donald kossmann . performance tradeoffs for client-serverquery processing COL authors VAL mj franklin , tj bjorn COL venue VAL proceedings of the acm sigmod conference on management of & hellip ; , COL year VAL "
34989,an efficient clustering algorithm for large databases,"s guha , r rastogi , kc shim","proceedings of the acm sigmod conference on management of & hellip ; ,",,"COL title VAL an efficient clustering algorithm for large databases COL authors VAL s guha , r rastogi , kc shim COL venue VAL proceedings of the acm sigmod conference on management of & hellip ; , COL year VAL "
34990,"an adaptive , region-based allocator for java","f qian , l hendren",,,"COL title VAL an adaptive , region-based allocator for java COL authors VAL f qian , l hendren COL venue VAL  COL year VAL "
34991,minimum contrast estimation of random processes and fields based on information of the second and,"vv anh , nn leonenko , lm sakhno",,2002.0,"COL title VAL minimum contrast estimation of random processes and fields based on information of the second and COL authors VAL vv anh , nn leonenko , lm sakhno COL venue VAL  COL year VAL 2002.0"
34992,ring test for evaluation of bond properties of reinforcing bars,"r tepfers , pã ? olsson",,,"COL title VAL ring test for evaluation of bond properties of reinforcing bars COL authors VAL r tepfers , pã ? olsson COL venue VAL  COL year VAL "
34993,sec ponders new y2k readiness rules,t hoffman,"computerworld ,",,"COL title VAL sec ponders new y2k readiness rules COL authors VAL t hoffman COL venue VAL computerworld , COL year VAL "
34994,rich lands and poor,g myrdal,"new york ,",,"COL title VAL rich lands and poor COL authors VAL g myrdal COL venue VAL new york , COL year VAL "
