id,title,authors,venue,year,text
1524,an open storage system for abstract objects,"s blott , l relly , h schek",sigmod conference,1996,"COL title VAL an open storage system for abstract objects COL authors VAL s blott , l relly , h schek COL venue VAL sigmod conference COL year VAL 1996"
1525,improved histograms for selectivity estimation of range predicates,"v poosala , y ioannidis , p haas , e shekita",sigmod conference,1996,"COL title VAL improved histograms for selectivity estimation of range predicates COL authors VAL v poosala , y ioannidis , p haas , e shekita COL venue VAL sigmod conference COL year VAL 1996"
1526,explaining differences in multidimensional aggregates,s sarawagi,vldb,1999,COL title VAL explaining differences in multidimensional aggregates COL authors VAL s sarawagi COL venue VAL vldb COL year VAL 1999
1527,very large databases in a commercial application environment,k hess,vldb,1996,COL title VAL very large databases in a commercial application environment COL authors VAL k hess COL venue VAL vldb COL year VAL 1996
1528,database architecture optimized for the new bottleneck : memory access,"p boncz , s manegold , m kersten",vldb,1999,"COL title VAL database architecture optimized for the new bottleneck : memory access COL authors VAL p boncz , s manegold , m kersten COL venue VAL vldb COL year VAL 1999"
1529,structures for manipulating proposed updates in object-oriented databases,"m doherty , r hull , m rupawalla",sigmod conference,1996,"COL title VAL structures for manipulating proposed updates in object-oriented databases COL authors VAL m doherty , r hull , m rupawalla COL venue VAL sigmod conference COL year VAL 1996"
1530,spatial hash-joins,"m lo , c ravishankar",sigmod conference,1996,"COL title VAL spatial hash-joins COL authors VAL m lo , c ravishankar COL venue VAL sigmod conference COL year VAL 1996"
1531,active views for electronic commerce,"s abiteboul , b amann , s cluet , a eyal , l mignet , t milo",vldb,1999,"COL title VAL active views for electronic commerce COL authors VAL s abiteboul , b amann , s cluet , a eyal , l mignet , t milo COL venue VAL vldb COL year VAL 1999"
1532,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,"COL title VAL partition based spatial-merge join COL authors VAL j patel , d dewitt COL venue VAL sigmod conference COL year VAL 1996"
1533,an adaptive hybrid server architecture for client caching odbmss,"k voruganti , m жzsu , r unrau",vldb,1999,"COL title VAL an adaptive hybrid server architecture for client caching odbmss COL authors VAL k voruganti , m жzsu , r unrau COL venue VAL vldb COL year VAL 1999"
1534,implementing data cubes efficiently,"v harinarayan , a rajaraman , j ullman",sigmod conference,1996,"COL title VAL implementing data cubes efficiently COL authors VAL v harinarayan , a rajaraman , j ullman COL venue VAL sigmod conference COL year VAL 1996"
1535,exploiting versions for handling updates in broadcast disks,"e pitoura , p chrysanthis",vldb,1999,"COL title VAL exploiting versions for handling updates in broadcast disks COL authors VAL e pitoura , p chrysanthis COL venue VAL vldb COL year VAL 1999"
1536,fast algorithms for maintaining replica consistency in lazy master replicated databases,"e pacitti , p minet , e simon",vldb,1999,"COL title VAL fast algorithms for maintaining replica consistency in lazy master replicated databases COL authors VAL e pacitti , p minet , e simon COL venue VAL vldb COL year VAL 1999"
1537,providing better support for a class of decision support queries,"s rao , a badia , d gucht",sigmod conference,1996,"COL title VAL providing better support for a class of decision support queries COL authors VAL s rao , a badia , d gucht COL venue VAL sigmod conference COL year VAL 1996"
1538,datablitz : a high performance main-memory storage manager,"j baulier , p bohannon , s gogate , s joshi , c gupta , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , a silberschatz , s sudarshan",vldb,1998,"COL title VAL datablitz : a high performance main-memory storage manager COL authors VAL j baulier , p bohannon , s gogate , s joshi , c gupta , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , a silberschatz , s sudarshan COL venue VAL vldb COL year VAL 1998"
1539,adapting materialized views after redefinitions,"a gupta , i mumick , k ross",sigmod conference,1995,"COL title VAL adapting materialized views after redefinitions COL authors VAL a gupta , i mumick , k ross COL venue VAL sigmod conference COL year VAL 1995"
1540,bridging heterogeneity : research and practice of database middleware technology,"f rezende , g sauter",vldb,1998,"COL title VAL bridging heterogeneity : research and practice of database middleware technology COL authors VAL f rezende , g sauter COL venue VAL vldb COL year VAL 1998"
1541,broadcast disks : data management for asymmetric communications environments,"s acharya , r alonso , m franklin , s zdonik",sigmod conference,1995,"COL title VAL broadcast disks : data management for asymmetric communications environments COL authors VAL s acharya , r alonso , m franklin , s zdonik COL venue VAL sigmod conference COL year VAL 1995"
1542,heterogeneous database query optimization in db2 universal datajoiner,"s venkataraman , t zhang",vldb,1998,"COL title VAL heterogeneous database query optimization in db2 universal datajoiner COL authors VAL s venkataraman , t zhang COL venue VAL vldb COL year VAL 1998"
1543,an effective hash based algorithm for mining association rules,"j park , m chen , p yu",sigmod conference,1995,"COL title VAL an effective hash based algorithm for mining association rules COL authors VAL j park , m chen , p yu COL venue VAL sigmod conference COL year VAL 1995"
1544,a database system for real-time event aggregation in telecommunication,"j baulier , s blott , h korth , a silberschatz",vldb,1998,"COL title VAL a database system for real-time event aggregation in telecommunication COL authors VAL j baulier , s blott , h korth , a silberschatz COL venue VAL vldb COL year VAL 1998"
1545,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","c faloutsos , k lin",sigmod conference,1995,"COL title VAL fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets COL authors VAL c faloutsos , k lin COL venue VAL sigmod conference COL year VAL 1995"
1546,dynamic resource brokering for multi-user query execution,"d davison , g graefe",sigmod conference,1995,"COL title VAL dynamic resource brokering for multi-user query execution COL authors VAL d davison , g graefe COL venue VAL sigmod conference COL year VAL 1995"
1547,architecture of oracle parallel server,"r bamford , d butler , b klots , n macnaughton",vldb,1998,"COL title VAL architecture of oracle parallel server COL authors VAL r bamford , d butler , b klots , n macnaughton COL venue VAL vldb COL year VAL 1998"
1548,checkpointing in oracle,"a joshi , w bridge , j loaiza , t lahiri",vldb,1998,"COL title VAL checkpointing in oracle COL authors VAL a joshi , w bridge , j loaiza , t lahiri COL venue VAL vldb COL year VAL 1998"
1549,applying update streams in a soft real-time database system,"b adelberg , h garcia-molina , b kao",sigmod conference,1995,"COL title VAL applying update streams in a soft real-time database system COL authors VAL b adelberg , h garcia-molina , b kao COL venue VAL sigmod conference COL year VAL 1995"
1550,balancing histogram optimality and practicality for query result size estimation,"y ioannidis , v poosala",sigmod conference,1995,"COL title VAL balancing histogram optimality and practicality for query result size estimation COL authors VAL y ioannidis , v poosala COL venue VAL sigmod conference COL year VAL 1995"
1551,from data independence to knowledge independence : an on-going story,l vieille,vldb,1998,COL title VAL from data independence to knowledge independence : an on-going story COL authors VAL l vieille COL venue VAL vldb COL year VAL 1998
1552,dtl 's dataspot : database exploration using plain language,"s dar , g entin , s geva , e palmon",vldb,1998,"COL title VAL dtl 's dataspot : database exploration using plain language COL authors VAL s dar , g entin , s geva , e palmon COL venue VAL vldb COL year VAL 1998"
1553,enhancing database correctness : a statistical approach,"w hou , z zhang",sigmod conference,1995,"COL title VAL enhancing database correctness : a statistical approach COL authors VAL w hou , z zhang COL venue VAL sigmod conference COL year VAL 1995"
1554,resource scheduling for composite multimedia objects,"m garofalakis , y ioannidis , b жzden",vldb,1998,"COL title VAL resource scheduling for composite multimedia objects COL authors VAL m garofalakis , y ioannidis , b жzden COL venue VAL vldb COL year VAL 1998"
1555,copy detection mechanisms for digital documents,"s brin , j davis , h garcia-molina",sigmod conference,1995,"COL title VAL copy detection mechanisms for digital documents COL authors VAL s brin , j davis , h garcia-molina COL venue VAL sigmod conference COL year VAL 1995"
1556,performance measurements of tertiary storage devices,"t johnson , e miller",vldb,1998,"COL title VAL performance measurements of tertiary storage devices COL authors VAL t johnson , e miller COL venue VAL vldb COL year VAL 1998"
1557,a database interface for file updates,"s abiteboul , s cluet , t milo",sigmod conference,1995,"COL title VAL a database interface for file updates COL authors VAL s abiteboul , s cluet , t milo COL venue VAL sigmod conference COL year VAL 1995"
1558,incremental maintenance for materialized views over semistructured data,"s abiteboul , j mchugh , m rys , v vassalos , j wiener",vldb,1998,"COL title VAL incremental maintenance for materialized views over semistructured data COL authors VAL s abiteboul , j mchugh , m rys , v vassalos , j wiener COL venue VAL vldb COL year VAL 1998"
1559,fault tolerant design of multimedia servers,"s berson , l golubchik , r muntz",sigmod conference,1995,"COL title VAL fault tolerant design of multimedia servers COL authors VAL s berson , l golubchik , r muntz COL venue VAL sigmod conference COL year VAL 1995"
1560,proximity search in databases,"r goldman , n shivakumar , s venkatasubramanian , h garcia-molina",vldb,1998,"COL title VAL proximity search in databases COL authors VAL r goldman , n shivakumar , s venkatasubramanian , h garcia-molina COL venue VAL vldb COL year VAL 1998"
1561,efficient maintenance of materialized mediated views,"j lu , g moerkotte , j schќ , v subrahmanian",sigmod conference,1995,"COL title VAL efficient maintenance of materialized mediated views COL authors VAL j lu , g moerkotte , j schќ , v subrahmanian COL venue VAL sigmod conference COL year VAL 1995"
